,price,currency,ad_situation,rooms,bath,building_space,measuring_unit,price/m2,brokered_by,direction,city,state,postal_code,índice_poder_adqui,índice_seguridad,índice_sanidad,índice_clima,índice_costo_vida,relación_precio_ingresos_propiedades,índice_costo_desplazamiento,índice_contaminación,índice_calidad_vida,latidud_,longitud_
78,198999,USD,Old,4,2,201.0,m2,990.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
79,399000,USD,Old,3,2,214.0,m2,1864.0,Burger Professionals LLC,"1248 Bridle Dr SE, Olympia",Olympia,Washington,98501,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.3931275206374,19.70882176239555
80,369000,USD,Old,4,2,250.0,m2,1476.0,"RE/MAX Northwest Realtors - Olympia, WA","6914 SE 5th Ct, Olympia",Olympia,Washington,98503,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.48078117830576,19.80710521201973
81,549000,USD,Old,3,1,217.0,m2,2530.0,Greene Realty Group LLC,"6135 Woodard Bay Rd NE, Olympia",Olympia,Washington,98506,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.59161633333334,19.742317233735022
82,218999,USD,Old,3,2,204.0,m2,1074.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
83,200000,USD,Old,2,2,93.0,m2,2151.0,MVP Realty Group,"1407 SW Evergreen Park Dr Unit 204, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
84,449900,USD,Old,4,2,209.0,m2,2153.0,Abbey Realty Inc,"4106 Green Cove St NW, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
85,390000,USD,Old,4,2,185.0,m2,2108.0,eXp Realty Washington,"3214 Cain Rd SE, Olympia",Olympia,Washington,98501,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.3931275206374,19.70882176239555
86,339500,USD,Old,2,2,150.0,m2,2263.0,"Coldwell Banker Evergreen Olympic Realty, Inc","601 Seahawk St SE, Olympia",Olympia,Washington,98503,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.48078117830576,19.80710521201973
87,239999,USD,Old,4,2,228.0,m2,1053.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
88,395000,USD,Old,3,2,141.0,m2,2801.0,Abbey Realty Inc,"6208 Winnwood Loop SE, Olympia",Olympia,Washington,98513,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,36.2481817,59.600534
89,275000,USD,Old,3,1,94.0,m2,2926.0,RE/MAX COUNTRY,"1432 Foxfire Dr SE, Olympia",Olympia,Washington,98513,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,36.2481817,59.600534
90,735000,USD,Old,3,2,178.0,m2,4129.0,Greene Realty Group LLC,"13029 Marksman St SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
91,674900,USD,Old,4,2,273.0,m2,2472.0,John L. Scott - Olympia,"8735 82nd Ln SE, Olympia",Olympia,Washington,98513,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,36.2481817,59.600534
92,248999,USD,Old,4,2,263.0,m2,947.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
93,434900,USD,Old,3,2,163.0,m2,2668.0,Berkshire Hathaway Sound Rltrs,"1428 12th Ave SW, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
94,219000,USD,Old,2,2,114.0,m2,1921.0,Better Properties North Proctor,"10116 Overlook Dr NW, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
95,204900,USD,Old,3,2,182.0,m2,1126.0,Berkshire Hathaway Sound Rltrs,"2609 114th Way SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
96,425000,USD,Old,3,2,162.0,m2,2623.0,"RE/MAX Northwest Realtors - Olympia, WA","7025 Cooper Point Rd NW Unit 4, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
97,213999,USD,Old,5,2,233.0,m2,918.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
98,325000,USD,Old,2,1,67.0,m2,4851.0,"RE/MAX Northwest Realtors - Olympia, WA","1249 Summit Lake Shore Rd NW, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
99,324500,USD,Old,3,2,117.0,m2,2774.0,Berkshire Hathaway Sound Rltrs,"1522 Mapleridge Dr NE, Olympia",Olympia,Washington,98506,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.59161633333334,19.742317233735022
100,338000,USD,Old,3,2,170.0,m2,1988.0,GATEWAY REAL ESTATE,"8211 Westcott Ln SE, Olympia",Olympia,Washington,98501,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.3931275206374,19.70882176239555
101,246499,USD,Old,3,2,236.0,m2,1044.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
102,226999,USD,Old,4,2,247.0,m2,919.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
103,349000,USD,Old,3,2,188.0,m2,1856.0,"VAN DORM REALTY, INC","8424 16th Ave SW, Olympia",Olympia,Washington,98513,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,36.2481817,59.600534
104,217999,USD,Old,4,3,228.0,m2,956.0,Adair Homes,"South Puget Sound 2303 93rd Ave SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
105,374900,USD,Old,2,1,99.0,m2,3787.0,Berkshire Hathaway Sound Rltrs,"1619 10th Ave SW, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
106,409900,USD,Old,4,2,209.0,m2,1961.0,Greene Realty Group LLC,"5917 Braywood Ln SE, Olympia",Olympia,Washington,98513,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,36.2481817,59.600534
