,Price,Currency,Brokered_by,AD_Situation,Rooms,Bath,Building space,Measruing unit,Address,City,State,Índice_poder_adqui,Índice_seguridad,Índice_sanidad,Índice_clima,Índice_costo_vida,Relación_precio_ingresos_propiedades,Índice_costo_desplazamiento,Índice_contaminación,Índice_calidad_vida
76,192999,USD,Adair Homes,Old,3,2.5,2222,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
77,350000,USD,"VAN DORM REALTY, INC",Old,3,1.5,1486,sqft,"318 Turner St NE, Olympia, WA 98506",Olympia, WA 98506,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
78,198999,USD,Adair Homes,Old,4,2.5,2160,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
79,399000,USD,Burger Professionals LLC,Old,3,2.0,2302,sqft,"1248 Bridle Dr SE, Olympia, WA 98501",Olympia, WA 98501,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
80,369000,USD,"RE/MAX Northwest Realtors - Olympia, WA",Old,4,2.0,2688,sqft,"6914 SE 5th Ct, Olympia, WA 98503",Olympia, WA 98503,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
81,549000,USD,Greene Realty Group LLC,Old,3,1.0,2334,sqft,"6135 Woodard Bay Rd NE, Olympia, WA 98506",Olympia, WA 98506,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
82,218999,USD,Adair Homes,Old,3,2.5,2198,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
83,200000,USD,MVP Realty Group,Old,2,2.0,996,sqft,"1407 SW Evergreen Park Dr Unit 204, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
84,449900,USD,Abbey Realty Inc,Old,4,2.0,2248,sqft,"4106 Green Cove St NW, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
85,390000,USD,eXp Realty Washington,Old,4,2.0,1994,sqft,"3214 Cain Rd SE, Olympia, WA 98501",Olympia, WA 98501,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
86,339500,USD,"Coldwell Banker Evergreen Olympic Realty, Inc",Old,2,2.0,1613,sqft,"601 Seahawk St SE, Olympia, WA 98503",Olympia, WA 98503,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
87,239999,USD,Adair Homes,Old,4,2.5,2449,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
88,395000,USD,Abbey Realty Inc,Old,3,2.0,1516,sqft,"6208 Winnwood Loop SE, Olympia, WA 98513",Olympia, WA 98513,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
89,275000,USD,RE/MAX COUNTRY,Old,3,1.0,1008,sqft,"1432 Foxfire Dr SE, Olympia, WA 98513",Olympia, WA 98513,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
90,735000,USD,Greene Realty Group LLC,Old,3,2.0,1920,sqft,"13029 Marksman St SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
91,674900,USD,John L. Scott - Olympia,Old,4,2.5,2940,sqft,"8735 82nd Ln SE, Olympia, WA 98513",Olympia, WA 98513,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
92,248999,USD,Adair Homes,Old,4,2.5,2830,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
93,434900,USD,Berkshire Hathaway Sound Rltrs,Old,3,2.0,1756,sqft,"1428 12th Ave SW, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
94,219000,USD,Better Properties North Proctor,Old,2,2.0,1232,sqft,"10116 Overlook Dr NW, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
95,204900,USD,Berkshire Hathaway Sound Rltrs,Old,3,2.0,1964,sqft,"2609 114th Way SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
96,425000,USD,"RE/MAX Northwest Realtors - Olympia, WA",Old,3,2.0,1745,sqft,"7025 Cooper Point Rd NW Unit 4, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
97,213999,USD,Adair Homes,Old,5,2.5,2512,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
98,325000,USD,"RE/MAX Northwest Realtors - Olympia, WA",Old,2,1.0,720,sqft,"1249 Summit Lake Shore Rd NW, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
99,324500,USD,Berkshire Hathaway Sound Rltrs,Old,3,2.0,1260,sqft,"1522 Mapleridge Dr NE, Olympia, WA 98506",Olympia, WA 98506,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
100,338000,USD,GATEWAY REAL ESTATE,Old,3,2.5,1832,sqft,"8211 Westcott Ln SE, Olympia, WA 98501",Olympia, WA 98501,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
101,246499,USD,Adair Homes,Old,3,2.5,2541,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
102,226999,USD,Adair Homes,Old,4,2.5,2659,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
103,349000,USD,"VAN DORM REALTY, INC",Old,3,2.5,2024,sqft,"8424 16th Ave SW, Olympia, WA 98513",Olympia, WA 98513,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
104,217999,USD,Adair Homes,Old,4,3.0,2449,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
105,374900,USD,Berkshire Hathaway Sound Rltrs,Old,2,1.0,1066,sqft,"1619 10th Ave SW, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
106,409900,USD,Greene Realty Group LLC,Old,4,2.5,2248,sqft,"5917 Braywood Ln SE, Olympia, WA 98513",Olympia, WA 98513,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
107,534900,USD,"City Realty, Inc.",Old,4,2.0,1920,sqft,"5405 Lemon Rd NE, Olympia, WA 98506",Olympia, WA 98506,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
108,199499,USD,Adair Homes,Old,4,2.5,2432,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
109,369500,USD,Epic Realty,Old,3,2.0,1720,sqft,"3623 Kings Way SE, Olympia, WA 98501",Olympia, WA 98501,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
110,649900,USD,Windermere Real Estate Olympia,Old,4,3.5,3226,sqft,"6646 Prairie Ridge Dr NE, Olympia, WA 98516",Olympia, WA 98516,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
111,990000,USD,Keller Williams South Sound,Old,4,3.5,4276,sqft,"1804 Yelm Hwy SE, Olympia, WA 98501",Olympia, WA 98501,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
